,0,0
0,1473853.2765569962,2000000.0
1,2045052.10658842,2000000.0
2,2285374.558939713,1939162.7532967776
3,1542487.4485221016,1000000.0
4,1542487.4485221016,1499999.9999999998
5,1678233.9304391772,1499999.9999999998
6,1808936.9151415704,1499999.9999999998
7,2045052.10658842,1499999.9999999998
8,1678233.9304391772,1400000.0
9,2045052.10658842,1939162.7532967776
10,2045052.10658842,2500000.0
11,1678233.9304391772,2500000.0
12,1678233.9304391772,2500000.0
13,2557235.3316542436,3000000.0
14,2173813.24233833,2500000.0
15,2045052.10658842,2800000.0
16,1678233.9304391772,1700000.0
17,1808936.9151415704,1939162.7532967776
18,2285374.558939713,900000.0
19,2045052.10658842,2000000.0
20,2285374.558939713,2200000.0
21,2045052.10658842,2200000.0
22,1560648.927086352,1200000.0
23,1868628.6477155685,2000000.0
24,2045052.10658842,3000000.0
25,2285374.558939713,1000000.0
26,1413934.6793527016,1100000.0
27,2045052.10658842,1499999.9999999998
28,1868628.6477155685,1000000.0
29,1260677.6476539094,800000.0
30,1678233.9304391772,3580500.0624235007
31,2045052.10658842,2500000.0
32,1808936.9151415704,2200000.0
33,2285374.558939713,2300000.0
34,1868628.6477155685,1000000.0
35,2557235.3316542436,2500000.0
36,1985063.3088357884,1200000.0
37,1617709.5684594105,1200000.0
38,1808936.9151415704,600000.0
39,1808936.9151415704,1800000.0
40,1808936.9151415704,2000000.0
41,2391696.0545858825,2500000.0
42,2391696.0545858825,3500000.0
43,1542487.4485221016,1200000.0
44,2285374.558939713,1939162.7532967776
45,1808936.9151415704,1000000.0
46,1542487.4485221016,2000000.0
47,2456575.386530569,1000000.0
48,2285374.558939713,2500000.0
49,1482053.509730285,1300000.0
50,1678233.9304391772,1800000.0
51,2150439.1157977195,1850000.0
52,1808936.9151415704,1499999.9999999998
53,1808936.9151415704,1499999.9999999998
54,1800140.8753730545,2000000.0
55,1542487.4485221016,800000.0
56,1808936.9151415704,1499999.9999999998
57,1560648.927086352,1499999.9999999998
58,2232946.058966099,2900000.0
59,1868628.6477155685,1800000.0
60,1808936.9151415704,1000000.0
61,1527323.7539761653,1000000.0
62,1413934.6793527016,700000.0
63,1800140.8753730545,1100000.0
64,1808936.9151415704,2000000.0
65,1868628.6477155685,2500000.0
66,2184057.6526408857,1200000.0
67,2285374.558939713,3000000.0
68,1560648.927086352,1800000.0
69,2045052.10658842,1499999.9999999998
70,2373827.4457482863,3700000.0
71,1678233.9304391772,1200000.0
72,2285374.558939713,2000000.0
73,1542487.4485221016,800000.0
74,2045052.10658842,2000000.0
75,1542487.4485221016,1499999.9999999998
76,1808936.9151415704,1499999.9999999998
77,1560648.927086352,3000000.0
78,2373827.4457482863,1939162.7532967776
79,1868628.6477155685,1600000.0
80,1808936.9151415704,1499999.9999999998
81,2045052.10658842,2000000.0
82,2232946.058966099,3500000.0
83,1808936.9151415704,1300000.0
84,2045052.10658842,2000000.0
85,2045052.10658842,1499999.9999999998
86,1542487.4485221016,2000000.0
87,2285374.558939713,3500000.0
88,1868628.6477155685,1700000.0
89,2285374.558939713,1700000.0
90,1260677.6476539094,2500000.0
91,1542487.4485221016,1600000.0
92,2045052.10658842,4000000.0
93,1617709.5684594105,600000.0
94,1678233.9304391772,1499999.9999999998
95,2285374.558939713,2200000.0
96,2557235.3316542436,1800000.0
97,2173813.24233833,1200000.0
98,2045052.10658842,2500000.0
99,1527323.7539761653,1100000.0
100,1808936.9151415704,1499999.9999999998
101,2045052.10658842,2500000.0
102,1880255.2568313289,1400000.0
103,1868628.6477155685,1000000.0
104,1560648.927086352,1499999.9999999998
105,2373827.4457482863,2500000.0
106,2557235.3316542436,2300000.0
107,1542487.4485221016,2500000.0
108,2045052.10658842,1800000.0
109,1808936.9151415704,2000000.0
110,2456575.386530569,1939162.7532967776
111,2285374.558939713,2200000.0
112,2045052.10658842,1800000.0
113,1808936.9151415704,2000000.0
114,2045052.10658842,2700000.0
115,2045052.10658842,1499999.9999999998
116,1808936.9151415704,3700000.0
117,2045052.10658842,3000000.0
118,1617709.5684594105,1300000.0
119,1542487.4485221016,1900000.0
120,1808936.9151415704,2500000.0
121,2557235.3316542436,3000000.0
122,1808936.9151415704,2500000.0
123,1808936.9151415704,2.0
124,2045052.10658842,3500000.0
125,1808936.9151415704,2500000.0
126,1413934.6793527016,1499999.9999999998
127,2285374.558939713,3000000.0
128,2391696.0545858825,2500000.0
129,2045052.10658842,2000000.0
130,2285374.558939713,1400000.0
131,2373827.4457482863,1499999.9999999998
132,2045052.10658842,2000000.0
133,2045052.10658842,2500000.0
134,1542487.4485221016,1300000.0
135,1808936.9151415704,2000000.0
136,1868628.6477155685,2000000.0
137,1800140.8753730545,1499999.9999999998
138,1808936.9151415704,1200000.0
139,1617709.5684594105,2000000.0
